RAF,n,p,nodes,edges,SCC,WC,diameter,Bet_Centrality,coloring
1,2,0.2872872872872873,14,38,1,1,10,0.1813186813186813,3
1,2,0.2882882882882883,14,40,1,1,6,0.14285714285714285,3
1,2,0.28928928928928926,14,42,1,1,6,0.14377289377289373,3
0,2,0.2902902902902903,14,42,1,1,6,0.14194139194139194,3
1,2,0.2912912912912913,14,46,1,1,7,0.1336996336996337,3
0,2,0.2922922922922923,14,40,1,1,8,0.14285714285714285,3
1,2,0.2932932932932933,14,46,1,1,5,0.1172161172161172,2
1,2,0.29429429429429427,14,48,1,1,6,0.13278388278388278,3
1,2,0.2952952952952953,14,52,1,1,5,0.11538461538461535,3
1,2,0.2962962962962963,14,56,1,1,5,0.1053113553113553,2
1,2,0.2972972972972973,14,50,1,1,5,0.11172161172161173,3
1,2,0.2982982982982983,14,46,1,1,5,0.11996336996336991,3
1,2,0.29929929929929927,14,48,1,1,5,0.12271062271062269,3
1,2,0.3003003003003003,14,44,1,1,5,0.12454212454212454,3
1,2,0.3013013013013013,14,54,1,1,5,0.10805860805860805,2
1,2,0.3023023023023023,14,48,1,1,6,0.12728937728937725,3
0,2,0.3033033033033033,14,48,1,1,6,0.12545787545787546,2
1,2,0.30430430430430433,14,46,1,1,6,0.12362637362637362,3
1,2,0.3053053053053053,14,52,1,1,5,0.10897435897435899,2
0,2,0.3063063063063063,14,52,1,1,6,0.11996336996336994,3
1,2,0.3073073073073073,14,48,1,1,5,0.12545787545787546,3
1,2,0.3083083083083083,14,32,1,1,8,0.1794871794871795,3
1,2,0.30930930930930933,14,38,1,1,6,0.1456043956043956,3
1,2,0.3103103103103103,14,44,1,1,6,0.12912087912087913,3
1,2,0.3113113113113113,14,48,1,1,6,0.12545787545787546,3
1,2,0.3123123123123123,14,46,1,1,6,0.13003663003663,3
1,2,0.3133133133133133,14,44,1,1,7,0.14285714285714285,3
1,2,0.31431431431431434,14,52,1,1,7,0.12820512820512822,3
1,2,0.3153153153153153,14,58,1,1,5,0.10622710622710621,3
1,2,0.3163163163163163,14,46,1,1,6,0.12454212454212456,3
1,2,0.3173173173173173,14,50,1,1,5,0.11263736263736264,2
1,2,0.3183183183183183,14,54,1,1,5,0.11446886446886446,3
1,2,0.31931931931931934,14,46,1,1,6,0.13278388278388273,3
1,2,0.3203203203203203,14,46,1,1,6,0.11904761904761904,3
1,2,0.3213213213213213,14,52,1,1,5,0.10256410256410255,3
